Fire_ID,Fire_Year,Fire_Start,BurnDay,sdd,tssm,avgBio,cc,age,tri,RBR_median,RBR_quant,RBR_cv,FIRE_FINAL,size_class,dc,pyroregion
COC12_2015_1961,2015,2015-06-29,179,114,65,95.8469085693359,67.5728454589844,87.5703353881836,14.3407802581787,251.9224358,513.02401641722,0.715847075,176,1,95.1474490253876,0
SUD38_2015_1970,2015,2015-07-31,211,105,106,88.209716796875,63.0343894958496,83.3954849243164,23.6252422332764,351.1291177,584.12868179589,0.505374968,438,1,319.69077703845,0
RED50_2015_1999,2015,2015-07-12,192,99,93,47.3719139099121,69.7771835327148,43.458911895752,12.7650451660156,364.8963064,500.816597590369,0.305573702,119,1,204.304877430779,1
NIP38_2015_1995,2015,2015-06-26,176,120,56,96.1356735229492,70.8339920043945,102.776863098145,4.55587530136108,312.3058935,544.179872625866,0.482739538,203,1,159.56732330527,1
SLK32_2015_1980,2015,2015-06-27,177,116,61,43.6677932739258,40.609001159668,81.7331848144531,8.43848323822021,375.0672595,512.300784860387,0.44808054,85,1,188.536135923358,1
RED7_2015_1998,2015,2015-05-28,147,104,43,56.5830497741699,47.1212005615234,79.9882125854492,15.590012550354,323.469473,420.387087929877,0.332804561,1256,2,73.1127439334987,1
RED59_2015_1962,2015,2015-07-08,188,117,71,43.3531723022461,37.3784713745117,77.5806732177734,7.94715976715088,264.9327132,465.404703604807,0.496777117,223,1,217.324957533401,1
SLK55_2015_1963,2015,2015-07-11,191,121,70,36.8224792480469,35.4282150268555,67.637279510498,8.88759994506836,352.1559494,564.56630612481,0.506775737,383,1,223.624796200608,1
NIP20_2015_1965,2015,2015-06-09,159,120,39,14.0655107498169,10.3845682144165,27.0905418395996,0,27.70393437,84.9425472402121,1.692394137,50,1,113.117381214661,1
RED24_2015_1966,2015,2015-06-26,176,96,80,17.1117248535156,10.1667032241821,36.3633041381836,8.76921367645264,314.0739571,408.940762266136,0.324361682,94,1,227.874467614125,1
SLK19_2015_1967,2015,2015-06-09,159,119,40,56.3266258239746,47.7366638183594,89.2226638793945,7.37024974822998,297.4978424,535.040263495881,0.595990658,100,1,96.6415312865988,1
RED44_2015_1968,2015,2015-07-16,196,101,95,58.3627128601074,57.376651763916,61.5441970825195,25.0367794036865,398.3816739,514.725657678741,0.374179393,1024,2,256.089070083541,1
SLK53_2015_1969,2015,2015-07-09,189,135,54,55.6415710449219,46.6508255004883,94.9380416870117,1.89732587337494,284.3977557,468.422181534278,0.651594341,88,1,176.343058237379,1
NIP31_2015_1972,2015,2015-07-01,181,123,58,94.1336059570312,69.2875366210938,103.182548522949,7.62081098556519,421.1756055,556.351452853412,0.399240285,340,1,163.991089072129,1
NIP32_2015_1973,2015,2015-07-01,181,118,63,100.365219116211,83.4805526733398,94.6344375610352,1.6551548242569,295.6009224,566.902643751377,0.569982231,78,1,175.985633782955,1
SLK23_2015_1974,2015,2015-06-27,177,120,57,98.1887054443359,75.6884765625,105.659706115723,10.0000009536743,28.28185778,43.6225874196707,0.600918949,50,1,162.294656103025,1
SLK30_2015_1975,2015,2015-07-01,181,140,41,52.8587608337402,43.9172592163086,86.6493530273438,2.16950941085815,287.9603047,518.546531080183,0.609839022,185,1,187.943708751853,1
NIP24_2015_1976,2015,2015-07-03,183,120,63,70.334831237793,61.829273223877,87.8437042236328,6.33470487594604,328.3216864,588.743351432965,0.527637541,529,2,191.902312433022,1
COC13_2015_1977,2015,2015-06-23,173,109,64,36.5768280029297,31.5384654998779,94.7975234985352,9.35346412658691,203.4589394,427.373760801914,0.70464927,1120,2,109.553104137808,0
NIP23_2015_1979,2015,2015-06-22,172,126,46,42.1051597595215,33.0750617980957,75.1379852294922,12.7090559005737,362.6345153,516.112977271644,0.478282928,4067,2,146.405758796621,1
